,Korean Name,English Name,Image Url,Explanation,Category,Factors,kcal,sat_FAT,protein,fat,trans_FAT,sodium,sugars,caffeine,cholesterol,chabo
10,미니 리프 파이,Mini Leaf Pie,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9300000004008]_20220218143920503.jpg,버터 풍미가 가득한 나뭇잎 모양의 바삭 바삭한 파이입니다.,product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀,212,5,2,9,0.3,131,15,0,17,30
11,바질 치즈 포카치아,Basil Cheese Focaccia,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9300000004511]_20230713123923207.jpg,"바질 페스토와 모짜렐라, 체다 & 고다 치즈가 채워진 촉촉하고 폭신한 식감의 포카치아입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,360,6,16,16,0.4,568,3,0,25,38
12,뺑 오 쇼콜라,Pain au chocolat,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002431]_20210421164613280.jpg,바삭하면서도 속은 부드러운 데니쉬 안에 초콜릿 필링을 넣어 담백하면서도 달콤한 맛이 느껴지는 빵입니다.,product_bakery,알레르기 유발요인 : 우유 / 알류 / 밀,295,10,5,18,0.5,380,8,0,37,28
13,소금빵,Salted Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000005143]_20240327145829267.jpg,"버터를 롤링한 반죽 위에 소금이 뿌려져 있어 고소하면서도 짭짤한 맛을 동시에 느끼실 수 있으며 쫄깃한 식감이 매력적인 빵입니다.

* 매장에서 따뜻하게 데워서 드시면 가장 맛있습니다.",product_bakery,알레르기 유발요인 : 우유 / 밀,213,5,5,9,0,496,4,0,13,28
14,스모크드 소시지 브레드,Smoked Sausage Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002445]_20210421172107746.jpg,"훈제된 도톰한 소시지와 머스타드 그릴드 어니언이 맛의 
조화를 이룬 든든한 간식용 소시지 브레드입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 돼지고기 / 쇠고기,520,5,14,39,0.5,985,7,0,55,28
15,연유 밀크모닝,Sweet Milk Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9300000003175]_20210210174347322.jpg,부드럽고 폭신한 질감의 빵 안에 연유 버터크림이 들어있어 따뜻하게 드시면 크림이 사르르 녹아 더욱 맛있게 드실 수 있습니다.,product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀,440,11,8,23,0.5,540,23,0,30,50
16,오름 치즈 케이츄리,Oreum Cheese Cake Pastry,https://image.istarbucks.co.kr/upload/store/skuimg/2021/07/[9300000003520]_20210727081330330.jpg,오름을 닮은 미니 치즈 케이크와 달콤한 슈크림을 담은 패스츄리를 한번에 즐길 수 있는 이색적인 브레드입니다.,product_bakery,알레르기 유발요인 : 우유 / 알류 / 밀 / 아황산류,590,20,10,44,1.2,600,26,0,115,39
17,주상절리 파이,Jeju Columnar joint Pie,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002489]_20210421134243192.jpg,"[제주지역 한정푸드] 제주의 주상절리 모양을 표현하여 겹겹이 쌓은 패스츄리를
바삭하게 구운 후 초콜릿을 입혀 달콤하게 즐길 수 있는 제주 전용 파이입니다.",product_bakery,알레르기 유발요인 : 대두 / 우유 / 밀 / 오징어,505,17,7,36,0.5,480,24,0,45,38
18,초콜릿 월넛 브레드,Chocolate Walnut Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2023/08/[9300000004825]_20230821112112447.jpg,"촉촉한 초콜릿 번에 진한 초콜릿 필링을 채운 뒤, 호두와 초콜릿을 코팅하여 달달함과 고소함을 더한 비건 브레드입니다.",product_bakery,알레르기 유발요인 : 호두 / 대두 / 밀,740,22,11,36,0.1,295,36,0,0,93
19,크림치즈 브리오슈 보스톡,Cream Cheese Brioche Bostock,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9300000002931]_20210325161934534.jpg,버터 풍미가 진한 부드러운 브리오슈 빵 위에 레몬 크림치즈와 아몬드 크림을 함께 구워 산뜻하면서도 달콤한 맛을 즐길 수 있는 브레드입니다.,product_bakery,알레르기 유발요인 : 우유 / 알류 / 밀,505,7,7,36,0.5,365,25,0,150,38
20,하트 파이,Heart Pie,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5110006070]_20210422111451741.jpg,하트 모양의 바삭한 파이입니다. ,product_bakery,알레르기 유발요인 : 우유 / 달걀 / 밀,466,10,9,19,0.5,501,16,0,36,64
21,한 입에 쏙 치즈 꿀 볼,Cheese and Honey Mini Bites Bread,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9300000003042]_20200924141423389.jpg,네 가지의 다양한 치즈가 들어가 짭짤한 맛과 달콤한 아카시아 꿀이 더해져 단짠의 조화가 매력적인 브레드!,product_bakery,알레르기 유발요인 : 우유 / 달걀 / 밀,283,4.4,13,7,0.2,582,8,0,19,42
22,더블 초코 무스 케이크,Double Choco Mousse Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2024/04/[9300000005228]_20240423125341631.jpg,밀크 초콜릿과 카라멜 맛 골드 초콜릿을 사용한 두가지 무스와 초코 시트가 층층이 쌓인 레이어가 돋보이는 케이크로 크런치한 식감의 초코볼이 더해진 달콤한 매력의 케이크 입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 돼지고기,574,22,7,42,0.5,285,41,0,154,42
23,딸기 크림 쉬폰 케이크,Strawberry Cream Chiffon Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2024/04/[9300000005229]_20240423124624312.jpg,"부드럽고 달콤한 딸기 우유 크림과 촉촉한 핑크 쉬폰이 조화롭게 어우러지는 케이크입니다.
",product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀,459,15,6,35,0.5,237,29,0,187,30
24,피스타치오 무스 케이크,Pistachio Mousse Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2024/04/[9300000005230]_20240423125454715.jpg,"고소한 피스타치오 풍미를 담은 케이크로 피스타치오 분태가 더해진 부드러운 무스 크림과 달콤상큼한 베리리플잼 필링의 조화가 매력인 케이크입니다.
",product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 돼지고기,589,24,7,49,0.8,94,29,0,167,30
25,7 레이어 가나슈 케이크,7 Layer Ganache Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001179]_20210421164934809.jpg,"초콜릿, 가나슈, 모카로 만든 시트와 크림이 7개의 층을 이루어 모양부터 매력적인 케이크입니다.",product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,576,22,7,40,0.6,163,34,0,101,47
26,The 촉촉 초콜릿 생크림 케이크,The Chocolate Fresh Cream Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/05/[9300000003393]_20210520100142751.jpg,달콤한 초콜릿 케이크 시트에 진한 가나슈 생크림을 넣고 측면에 다크 초콜릿을 듬뿍 토핑한 달콤하고 촉촉한 초콜릿 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,456,16,7,32,0.3,140,23,0,127,35
27,딸기 초코 쏙 생크림 케이크,Strawberry Choco Fresh Cream Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000005121]_20240312132545496.jpg,달콤한 초코 시트 사이에 부드러운 생크림과 국내산 생딸기가 층층히 레이어된 클래식한 매력의 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,310,17,3,24,0.5,130,19,0,100,20
28,라즈베리 쇼콜라,Raspberry chocolate Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9300000002929]_20210325161742703.jpg,초콜릿 케이크 사이에 진한 가나슈 필링을 넣은 후 라즈베리를 올린 진하고 묵직한 초콜릿 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 아황산류,535,12,6,37,0.5,95,41,0,190,44
29,레드벨벳 크림치즈 케이크,Red Velvet Cream Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5110007192]_20210421153949188.jpg,레드벨벳 시트 사이에 크림치즈 무스를 샌드한 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀,510,15,4,38,0.6,425,36,0,135,37
30,마스카포네 티라미수 케이크,Mascarpone Tiramisu Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2023/06/[9300000001907]_20230619130922529.jpg,고소한 마스카포네 치즈 크림에 촉촉한 커피 시트가 입안을 감싸는 기분 좋은 느낌의 떠먹는 티라미수입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 돼지고기,476,19,8,32,0.5,100,28,0,200,39
31,멘지락 쑥팥 생크림 케이크,Mugwort&Red Bean Cream Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9300000004043]_20220314152912940.jpg,"쑥 케이크 시트에 달콤한 단팥 생크림을 겹겹이 올리고 쑥 생크림으로 마무리한 부드러운 케이크로 제주 특산품인 오메기떡을 케이크로 재해석한 상품입니다.
* '멘지락'은 '부드럽다'는 뜻의 제주도 방언입니다.",product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀,295,13,5,20,0.5,110,23,0,135,24
32,바스크 치즈 케이크,Basque Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2023/05/[9300000004485]_20230524125744206.jpg,고온에서 짧게 구워 겉면은 스모키하고 속은 크리미한 것이 특징인 스페인 바스크 지방에서 유래된 바스크 치즈 케이크입니다.,product_cake,알레르기 유발요인 : 우유 / 달걀,665,27,11,37,0.5,410,46,0,215,72
33,부드러운 생크림 카스텔라,Fresh Cream Castella,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5110007181]_20210421164728664.jpg,부드러운 생크림이 듬뿍 들어있는 촉촉한 카스텔라입니다. ,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,544,13,8,28,0.5,215,42,0,174,65
34,부드러운 티라미수 롤,Tiramisu Roll Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9300000002926]_20210210172612813.jpg,달콤한 초코 케이크 시트에 고소한 마스카포네 크림을 듬뿍 넣은 부드러운 롤 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,426,13,9,22,0.4,177,31,0,146,48
35,새코롬 한라봉 크림 케이크,Hallabong Cream Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2023/03/[9300000004518]_20230320090706543.jpg,촉촉한 케이크 시트 사이에 치즈 생크림과 한라봉 크림을 층층이 올린 후 한라봉 제스트로 마무리한 상큼한 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 아황산류,350,13,4,25,0.5,140,23,0,140,28
36,슈크림 가득 바움쿠헨,Choux Cream Baumkuchen,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/[9300000002448]_20230102083308920.jpg,바닐라 빈이 들어간 부드러운 슈크림과 바움쿠헨이 조화로운 바닐라 풍미의 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,564,18,9,36,0.5,161,31,0,223,51
37,스틱 에그 타르트,Stick Egg Tart,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9300000005094]_20240229090905856.jpg,간편하게 즐길 수 있는 얇고 길쭉한 형태의 달콤하고 고소한 맛의 에그 타르트입니다.,product_cake,알레르기 유발요인 : 우유 / 달걀 / 밀,313,10,65,17,0.4,168,38,0,97,34
38,클라우드 치즈 케이크,Cloud Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000000132]_20210422112714304.jpg,"사워크림의 상큼함과 진한 치즈의 맛을 동시에 맛볼 수 있는 케이크입니다. 
",product_cake,알레르기 유발요인 : 우유 / 달걀 / 밀 / 아황산류,532,24,8,40,1,374,24,0,116,36
39,클래식 블루베리 치즈 케이크,Classic Blueberry Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2023/10/[9300000004635]_20231013085729087.jpg,"크림치즈를 넣은 진한 풍미의 치즈 케이크 위에 달콤, 상큼한 블루베리가 올라간 클래식한 치즈 케이크입니다
",product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,790,33,10,48,0.7,510,63,0,195,78
40,당근 현무암 케이크,Jeju Carrot Basalt Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001055]_20210421133631946.jpg,현무암을 연상케 하는 오징어 먹물 케이크 시트 사이에 새콤한 당근 크림치즈 무스를 샌드한 컵 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 오징어 / 돼지고기,375,10,5,21,0,140,27,0,135,41
41,새코롬 돌코롬 한라봉 케이크,Jeju Hallabong Chocolate Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2020/06/[9300000002857]_20200626140242051.jpg,"초콜릿과 한라봉으로 색을 낸 시폰 케이크에 새콤달콤한 한라봉 크림을 넣어 제주도의 성산일출봉을 연상케하는 케이크입니다.
* 새코롬 돌코롬은 '새콤달콤'이라는 뜻의 제주도 방언입니다.",product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀,380,9,6,20,0.5,105,43,0,180,44
42,제주 녹차 생크림 롤,Green Tea Cream Roll Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/07/[9300000003468]_20210727081659361.jpg,녹차 롤 케이크 시트에 진한 마스카포네 크림과 달콤 쌉싸름한 제주 녹차 가나슈를 넣은 롤 케이크입니다.,product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,590,17,9,35,0,160,22,0,287,60
43,제주 땅콩 생크림 롤,Peanut Cream Roll Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2021/07/[9300000003469]_20210727081817758.jpg,롤 케이크 시트에 땅콩을 넣은 진한 마스카포네 크림과 고소한 제주산 땅콩 가나슈을 넣은 후 고소한 카라멜 땅콩을 올린 롤 케이크입니다.,product_cake,알레르기 유발요인 : 땅콩 / 대두 / 우유 / 달걀 / 밀,640,15,11,39,0,150,19,0,315,61
44,돔 피칸 타르트,Dome Pecan Tart,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000004098]_20220523144024899.jpg,타르트 시트에 달콤한 필링과 고소한 피칸을 돔 형태로 듬뿍 올려 구워낸 피칸 타르트 입니다. (지름 15cm / 중량 630g),product_cake,알레르기 유발요인 : 우유 / 달걀 / 밀,435,7,6,25,0.5,160,29,0,70,47
45,마스카포네 티라미수,(W)Mascapone Tiramisu,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000004099]_20220523143424375.jpg,진한 마스카포네 치즈 크림에 촉촉한 커피 시트가 입안을 감싸는 기분 좋은 느낌의 떠먹는 티라미수입니다. 뚜껑이 포함된 리유저블 케이스에 담겨져 있습니다. (지름 18cm / 중량 900g),product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 돼지고기,275,12,3,19,0.5,110,22,0,165,23
46,베어리스타 우유 생크림 케이크,(W)Bearista Milk Cream Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000004100]_20220523144316989.jpg,달콤하고 고소한 우유 생크림 안에 바삭하게 씹히는 화이트 초콜릿 볼이 쏙쏙 박혀 있는 생크림 케이크입니다. 베어리스타 초콜릿 사인판이 올라가 있습니다. (지름 16cm / 중량 675g),product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,365,13,5,23,0.5,180,28,0,140,34
47,블루베리 쿠키 치즈 케이크,Blueberry Cookie Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000000913]_20220523144609443.jpg,"달콤한 블루베리를 듬뿍 올린 진한 풍미의 쿠키 치즈 케이크입니다. 
(사이즈 18cm / 중량 1,250g)",product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 쇠고기 / 아황산류,390,7,4,29,0.5,310,27,0,120,28
48,세븐 레이어 가나슈 케이크,Seven Layer Ganache Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000002065]_20220523145502412.jpg,"초콜릿, 가나슈, 모카로 만든 시트와 크림으로 만든 7개의 층이 특징이며, 가나슈로 감싸 진한 풍미의 초콜릿 케이크입니다.
(지름 12cm / 중량 510g)",product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀,433,16,6,29,0.3,112,27,0,76,37
49,청담스타 얼 그레이 밀크 케이크,Cheongdam Star Earl Grey Milk Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000001521]_20220523145259012.jpg,"얼 그레이 케이크 시트 사이에 부드럽고 향긋한 얼 그레이 생크림을 샌드한 케이크입니다.
(사이즈 15cm / 중량 520g)",product_cake,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀,310,13,4,25,0.4,60,20,0,110,17
50,청담스타 오 허니 케이크,Cheongdam Star Oh Honey Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000000882]_20220523145105448.jpg,흑설탕을 넣어 구운 케이크 시트 사이에 향긋한 꿀과 크림치즈를 샌드한 특별한 케이크입니다. (사이즈 15cm / 중량 550g),product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 쇠고기,348,14,5,24,0.4,67,28,0,227,28
51,크레이프 에멘탈 치즈 케이크,Crepe Emmental Cheese Cake,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9300000002064]_20220523145701691.jpg,"부드러운 카스텔라와 에멘탈 치즈, 크림치즈로 만든 케이크를 한 장 한 장 얇게 구운 크레이프로 감싸 정성스럽게 만든 케이크입니다.
(지름 12cm / 중량 400g)",product_cake,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 돼지고기,330,19,5,26,0.6,254,18,0,126,18
52,더블 에그 샐러드 밀 박스,Double Egg Salad Meal Box,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9300000003523]_20220218132118557.jpg,"스마트 팜에서 재배한 프릴아이스 채소로 신선함과 아삭함을 더하였으며 반숙란 두개와 부드러운 닭가슴살 그리고 반건조 토마토를 넣어 영양 가득한 한끼를 책임지는 샐러드입니다.
",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 달걀 / 토마토 / 닭고기 / 아황산류,249,3.9,18,17,0.1,763,4,0,363,6
53,콥 & 화이트 샐러드 밀 박스,Cobb & White Salad Meal Box,https://image.istarbucks.co.kr/upload/store/skuimg/2022/01/[9300000003832]_20220118171516953.jpg,"닭가슴살, 새우 그리고 반숙란이 화이트 발사믹 드레싱과 어우러져 가벼운 한 끼를 책임질 콥 샐러드 밀 박스입니다.
",product_sandwich,알레르기 유발요인 : 대두 / 알류 / 토마토 / 새우 / 닭고기,198,2.3,15,10,0.2,540,4,0,180,12
54,B.E.L.T. 샌드위치,B.E.L.T. Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9300000000689]_20221011130104258.jpg,"주 재료인 베이컨(Bacon), 계란(Egg), 로메인 상추(Lettuce-Romane), 토마토(Tomato)의 각각의 머리 글자를 따온 이름의 샌드위치 입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 토마토 / 조개류(굴) / 돼지고기 / 쇠고기 / 아황산류,448,7,20,20,0.2,976,5,0,41,47
55,단호박 에그 샐러드 샌드위치,Sweet Pumpkin Egg Salad Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2023/06/[9300000004550]_20230613154111775.jpg,"곡물 식빵에 달콤하고 고소한 단호박 에그 샐러드와 신선한 로메인, 양상추를 더해 가볍고 건강하게 즐기는 샌드위치입니다.
",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 고등어 / 조개류(굴) / 닭고기 / 쇠고기,470,7,13,22,0,790,12,0,35,55
56,당근 산도롱 샌드위치,Carrot SW,https://image.istarbucks.co.kr/upload/store/skuimg/2023/03/[9300000004506]_20230320090823621.jpg,"당근 식빵 사이에 아삭한 당근 라페와 잠봉 햄, 스크램블 에그를 넣은 샌드위치입니다.
* 산도롱은 '시원한'이라는 뜻의 제주도 방언입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 토마토 / 조개류(굴) / 돼지고기 / 쇠고기 / 아황산류,460,6,19,22,0.2,992,9,0,112,46
57,리코타 소금빵 샌드위치,Ricotta Salted Bread Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000005135]_20240327145719039.jpg,"버터를 말아 구운 고소한 소금빵에 발사믹식초를 넣고 졸인 새콤한 발사믹 어니언과 리코타치즈의 부드러운 식감이 어우러진 소금빵 샌드위치 입니다.

* 매장에서 따뜻하게 데워서 드시면 가장 맛있습니다.",product_sandwich,알레르기 유발요인 : 우유 / 밀 / 아황산류,377,10,10,17,0.4,522,10,0,45,46
58,멜팅 치즈 베이컨 샌드위치,Melting Cheese Bacon Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9300000004827]_20231102130550541.jpg,"고소한 참깨 사워도우에 베이컨과 콜비잭치즈, 모차렐라, 그라나파다노 등 다섯 가지 치즈를 듬뿍 넣어 풍부한 치즈 풍미가 매력인 샌드위치입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 밀 / 돼지고기,478,12,27,22,0.7,881,2,0,66,43
59,바비큐 치킨 치즈 치아바타,Barbeque Chicken Cheese Ciabatta,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5110003062]_20210421162339695.jpg,"바삭한 치아바타에 새콤달콤한 바비큐 소스 치킨, 베이컨, 치즈가 어우러진 샌드위치입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 밀 / 토마토 / 조개류(굴) / 돼지고기 / 닭고기 / 쇠고기,320,4.2,19,8,0.2,877,5,0,44,43
60,베이컨 치즈 토스트,Bacon Cheese Toast,https://image.istarbucks.co.kr/upload/store/skuimg/2021/06/[9300000002178]_20210602104935868.jpg,"계란과 우유를 적신 빵에 베이컨과 치즈, 에그 스프레드를 넣어 구운 프렌치 토스트 타입 샌드위치입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 돼지고기 / 쇠고기,355,7,13,23,0.2,648,9,0,120,24
61,브렉퍼스트 잉글리쉬 머핀,Breakfast English Muffin,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000002435]_20210421164423036.jpg,"바쁜 아침, 간편하게 즐길 수 있는 잉글리쉬 머핀 샌드위치로 
소시지 패티, 달걀 후라이, 본가드 치즈를 넣어 만들었습니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 조개류(굴) / 돼지고기 / 쇠고기,355,6,17,19,0.1,742,2,0,44,29
62,에그에그 샌드위치,Egg Egg Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9300000001927]_20210422101307270.jpg,화이트 식빵 사이에 고소한 에그 스프레드를 넣은 부드러운 샌드위치입니다.,product_sandwich,알레르기 유발요인 : 대두 / 우유 / 달걀 / 밀 / 쇠고기,351,4.8,16,19,0.1,713,4,0,248,29
63,제주 돼지 풀드포크 샌드위치,Jeju Pulled Pork Sandwich,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/[9300000004337]_20220905131047095.jpg,"제주 돼지로 만든 풀드 포크와 모짜렐라 치즈, 에멘탈 치즈로 진한 맛을 더한 파니니 샌드위치입니다.",product_sandwich,알레르기 유발요인 : 대두 / 우유 / 알류 / 밀 / 돼지고기 / 쇠고기 / 아황산류,565,11,25,35,0.5,990,6,0,90,37
